monitoring;iterations;threads;run;time
no;10;17;2;1559
yes;10;17;2;1572
no;10;17;3;1559
yes;10;17;3;1569
no;10;17;4;1560
yes;10;17;4;1570
no;10;17;5;1559
yes;10;17;5;1572
no;10;17;6;1563
yes;10;17;6;1564
no;10;17;7;1566
yes;10;17;7;1575
no;10;17;8;1565
yes;10;17;8;1580
no;10;17;9;1566
yes;10;17;9;1578
no;10;17;10;1570
yes;10;17;10;1579
no;10;17;11;1569
yes;10;17;11;1570
no;10;17;12;1571
yes;10;17;12;1570
no;10;17;13;1574
yes;10;17;13;1568
no;10;17;14;1568
yes;10;17;14;1572
no;10;17;15;1566
yes;10;17;15;1574
no;10;17;16;1565
yes;10;17;16;1572
no;10;17;17;1566
yes;10;17;17;1572
no;10;17;18;1565
yes;10;17;18;1568
no;10;17;19;1566
yes;10;17;19;1572
no;10;17;20;1572
yes;10;17;20;1574

